threshold,precision,recall,f1,number_targeted,true_positives,false_positives,expected_revenue_saved,intervention_cost,contact_cost,net_benefit
0.3999999999999999,0.6026666666666667,0.6042780748663101,0.6034712950600801,375,226,149,56952.0,4500.0,750.0,51702.0
0.4099999999999999,0.6121883656509696,0.5909090909090909,0.601360544217687,361,221,140,55692.0,4332.0,722.0,50638.0
0.41999999999999993,0.6179775280898876,0.5882352941176471,0.6027397260273972,356,220,136,55440.0,4272.0,712.0,50456.0
0.42999999999999994,0.622093023255814,0.5721925133689839,0.596100278551532,344,214,130,53928.0,4128.0,688.0,49112.0
0.43999999999999995,0.6231454005934718,0.5614973262032086,0.5907172995780591,337,210,127,52920.0,4044.0,674.0,48202.0
0.4499999999999999,0.6269113149847095,0.5481283422459893,0.5848787446504993,327,205,122,51660.0,3924.0,654.0,47082.0
0.4599999999999999,0.6355140186915887,0.5454545454545454,0.5870503597122302,321,204,117,51408.0,3852.0,642.0,46914.0
0.4699999999999999,0.6392405063291139,0.5401069518716578,0.5855072463768116,316,202,114,50904.0,3792.0,632.0,46480.0
0.4799999999999999,0.6384364820846905,0.5240641711229946,0.5756240822320118,307,196,111,49392.0,3684.0,614.0,45094.0
0.48999999999999994,0.6409395973154363,0.5106951871657754,0.5684523809523809,298,191,107,48132.0,3576.0,596.0,43960.0
0.49999999999999994,0.6428571428571429,0.5053475935828877,0.5658682634730539,294,189,105,47628.0,3528.0,588.0,43512.0
0.5099999999999999,0.6379310344827587,0.4946524064171123,0.5572289156626506,290,185,105,46620.0,3480.0,580.0,42560.0
0.5199999999999999,0.6405693950177936,0.48128342245989303,0.549618320610687,281,180,101,45360.0,3372.0,562.0,41426.0
0.5299999999999999,0.6438848920863309,0.4786096256684492,0.549079754601227,278,179,99,45108.0,3336.0,556.0,41216.0
0.5399999999999999,0.6532846715328468,0.4786096256684492,0.5524691358024691,274,179,95,45108.0,3288.0,548.0,41272.0
0.5499999999999999,0.654275092936803,0.47058823529411764,0.5474339035769828,269,176,93,44352.0,3228.0,538.0,40586.0
0.5599999999999999,0.6614785992217899,0.45454545454545453,0.5388272583201268,257,170,87,42840.0,3084.0,514.0,39242.0
0.57,0.664,0.44385026737967914,0.532051282051282,250,166,84,41832.0,3000.0,500.0,38332.0
0.58,0.673728813559322,0.42513368983957217,0.521311475409836,236,159,77,40068.0,2832.0,472.0,36764.0
0.59,0.6741071428571429,0.4037433155080214,0.5050167224080268,224,151,73,38052.0,2688.0,448.0,34916.0
0.6,0.677570093457944,0.3877005347593583,0.4931972789115646,214,145,69,36540.0,2568.0,428.0,33544.0
0.61,0.69,0.3689839572192513,0.4808362369337979,200,138,62,34776.0,2400.0,400.0,31976.0
0.62,0.6963350785340314,0.35561497326203206,0.47079646017699117,191,133,58,33516.0,2292.0,382.0,30842.0
0.63,0.7134831460674157,0.339572192513369,0.4601449275362319,178,127,51,32004.0,2136.0,356.0,29512.0
0.6399999999999999,0.7083333333333334,0.3181818181818182,0.43911439114391143,168,119,49,29988.0,2016.0,336.0,27636.0
0.6499999999999999,0.7098765432098766,0.3074866310160428,0.4291044776119403,162,115,47,28980.0,1944.0,324.0,26712.0
0.6599999999999999,0.7151898734177216,0.30213903743315507,0.424812030075188,158,113,45,28476.0,1896.0,316.0,26264.0
0.6699999999999999,0.743421052631579,0.30213903743315507,0.4296577946768061,152,113,39,28476.0,1824.0,304.0,26348.0
0.6799999999999999,0.7449664429530202,0.2967914438502674,0.42447418738049714,149,111,38,27972.0,1788.0,298.0,25886.0
0.69,0.7430555555555556,0.28609625668449196,0.41312741312741313,144,107,37,26964.0,1728.0,288.0,24948.0
0.7,0.7352941176470589,0.26737967914438504,0.39215686274509803,136,100,36,25200.0,1632.0,272.0,23296.0
0.71,0.7384615384615385,0.25668449197860965,0.38095238095238093,130,96,34,24192.0,1560.0,260.0,22372.0
0.72,0.7317073170731707,0.24064171122994651,0.36217303822937624,123,90,33,22680.0,1476.0,246.0,20958.0
0.73,0.7435897435897436,0.232620320855615,0.3543788187372709,117,87,30,21924.0,1404.0,234.0,20286.0
0.74,0.7565217391304347,0.232620320855615,0.3558282208588957,115,87,28,21924.0,1380.0,230.0,20314.0
0.7499999999999999,0.75,0.22459893048128343,0.345679012345679,112,84,28,21168.0,1344.0,224.0,19600.0
0.7599999999999999,0.7592592592592593,0.2192513368983957,0.34024896265560167,108,82,26,20664.0,1296.0,216.0,19152.0
0.7699999999999999,0.7821782178217822,0.21122994652406418,0.33263157894736844,101,79,22,19908.0,1212.0,202.0,18494.0
0.7799999999999999,0.8,0.20320855614973263,0.32409381663113007,95,76,19,19152.0,1140.0,190.0,17822.0
0.7899999999999999,0.8068181818181818,0.18983957219251338,0.30735930735930733,88,71,17,17892.0,1056.0,176.0,16660.0
0.7999999999999999,0.8641975308641975,0.18716577540106952,0.3076923076923077,81,70,11,17640.0,972.0,162.0,16506.0
0.8099999999999999,0.8648648648648649,0.1711229946524064,0.2857142857142857,74,64,10,16128.0,888.0,148.0,15092.0
0.82,0.8615384615384616,0.1497326203208556,0.255125284738041,65,56,9,14112.0,780.0,130.0,13202.0
0.83,0.8571428571428571,0.12834224598930483,0.22325581395348837,56,48,8,12096.0,672.0,112.0,11312.0
0.84,0.8863636363636364,0.10427807486631016,0.18660287081339713,44,39,5,9828.0,528.0,88.0,9212.0
0.8499999999999999,0.9032258064516129,0.0748663101604278,0.1382716049382716,31,28,3,7056.0,372.0,62.0,6622.0
0.8599999999999999,1.0,0.045454545454545456,0.08695652173913043,17,17,0,4284.0,204.0,34.0,4046.0
0.8699999999999999,1.0,0.02406417112299465,0.04699738903394256,9,9,0,2268.0,108.0,18.0,2142.0
0.8799999999999999,1.0,0.013368983957219251,0.026385224274406333,5,5,0,1260.0,60.0,10.0,1190.0
0.8899999999999999,1.0,0.0053475935828877,0.010638297872340425,2,2,0,504.0,24.0,4.0,476.0
0.8999999999999999,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.9099999999999999,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.9199999999999999,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.9299999999999999,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.94,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
