model,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,accuracy_mean,accuracy_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,brier_mean,brier_std
Logistic Regression,0.8457651412699313,0.005420313970859037,0.6585701183019121,0.012440005822788057,0.7518222222222223,0.005633059384090626,0.802675585284281,0.015687009230178683,0.5215611001153094,0.007081162428652412,0.6322219812160739,0.00823219001265876,0.16513395355360533,0.0037898401306796685
Random Forest,0.844520475839562,0.0061633107108652885,0.654528134896489,0.01822486451119124,0.7701333333333333,0.003999012223716257,0.7451505016722407,0.0179981592602993,0.5499724616537905,0.006338894729946537,0.6327166042697949,0.00658755630827078,0.1531599931889725,0.0029763987742614175
XGBoost,0.8474608663260099,0.004755857111873425,0.6615458084844911,0.009091820248112791,0.8007111111111112,0.004332820482472508,0.5297658862876254,0.02435737987429179,0.6545167116035457,0.006950856227580857,0.5852976630084873,0.01576420471878833,0.13466569483280183,0.0012202989525824648
