,roc_auc,average_precision,accuracy,precision,recall,f1,brier_score,confusion_matrix
sigmoid,0.8370951126204245,0.6523056682551958,0.7938877043354655,0.6428571428571429,0.5053475935828877,0.5658682634730539,0.14101296182739984,"[[928, 105], [185, 189]]"
isotonic,0.8364751955521273,0.6509430915181624,0.7938877043354655,0.6409395973154363,0.5106951871657754,0.5684523809523809,0.13943112492176166,"[[926, 107], [183, 191]]"
